ONA_1:input 1/mode 1/transmission: Re(TE transmission) vs wavelength

wavelength(nm), Re(TE transmission)
1559.89, 0.15413
1559.89, 0.154131
1559.89, 0.154132
1559.89, 0.154134
1559.89, 0.154135
1559.89, 0.154136
1559.89, 0.154138
1559.89, 0.154139
1559.89, 0.154141
1559.89, 0.154142
1559.89, 0.154143
1559.89, 0.154145
1559.89, 0.154146
1559.89, 0.154147
1559.89, 0.154149
1559.89, 0.15415
1559.89, 0.154152
1559.89, 0.154153
1559.89, 0.154154
1559.89, 0.154156
1559.89, 0.154157
1559.89, 0.154158
1559.89, 0.15416
1559.89, 0.154161
1559.88, 0.154162
1559.88, 0.154164
1559.88, 0.154165
1559.88, 0.154166
1559.88, 0.154168
1559.88, 0.154169
1559.88, 0.15417
1559.88, 0.154172
1559.88, 0.154173
1559.88, 0.154174
1559.88, 0.154176
1559.88, 0.154177
1559.88, 0.154178
1559.88, 0.15418
1559.88, 0.154181
1559.88, 0.154182
1559.88, 0.154183
1559.88, 0.154185
1559.88, 0.154186
1559.88, 0.154187
1559.88, 0.154189
1559.88, 0.15419
1559.88, 0.154191
1559.88, 0.154193
1559.87, 0.154194
1559.87, 0.154195
1559.87, 0.154196
1559.87, 0.154198
1559.87, 0.154199
1559.87, 0.1542
1559.87, 0.154202
1559.87, 0.154203
1559.87, 0.154204
1559.87, 0.154205
1559.87, 0.154207
1559.87, 0.154208
1559.87, 0.154209
1559.87, 0.15421
1559.87, 0.154212
1559.87, 0.154213
1559.87, 0.154214
1559.87, 0.154215
1559.87, 0.154217
1559.87, 0.154218
1559.87, 0.154219
1559.87, 0.15422
1559.87, 0.154222
1559.87, 0.154223
1559.87, 0.154224
1559.86, 0.154225
1559.86, 0.154227
1559.86, 0.154228
1559.86, 0.154229
1559.86, 0.15423
1559.86, 0.154232
1559.86, 0.154233
1559.86, 0.154234
1559.86, 0.154235
1559.86, 0.154236
1559.86, 0.154238
1559.86, 0.154239
1559.86, 0.15424
1559.86, 0.154241
1559.86, 0.154242
1559.86, 0.154244
1559.86, 0.154245
1559.86, 0.154246
1559.86, 0.154247
1559.86, 0.154248
1559.86, 0.15425
1559.86, 0.154251
1559.86, 0.154252
1559.86, 0.154253
1559.86, 0.154254
1559.85, 0.154256
1559.85, 0.154257
1559.85, 0.154258
1559.85, 0.154259
1559.85, 0.15426
1559.85, 0.154261
1559.85, 0.154263
1559.85, 0.154264
1559.85, 0.154265
1559.85, 0.154266
1559.85, 0.154267
1559.85, 0.154268
1559.85, 0.15427
1559.85, 0.154271
1559.85, 0.154272
1559.85, 0.154273
1559.85, 0.154274
1559.85, 0.154275
1559.85, 0.154277
1559.85, 0.154278
1559.85, 0.154279
1559.85, 0.15428
1559.85, 0.154281
1559.85, 0.154282
1559.84, 0.154283
1559.84, 0.154285
1559.84, 0.154286
1559.84, 0.154287
1559.84, 0.154288
1559.84, 0.154289
1559.84, 0.15429
1559.84, 0.154291
1559.84, 0.154292
1559.84, 0.154294
1559.84, 0.154295
1559.84, 0.154296
1559.84, 0.154297
1559.84, 0.154298
1559.84, 0.154299
1559.84, 0.1543
1559.84, 0.154301
1559.84, 0.154302
1559.84, 0.154303
1559.84, 0.154305
1559.84, 0.154306
1559.84, 0.154307
1559.84, 0.154308
1559.84, 0.154309
1559.84, 0.15431
1559.83, 0.154311
1559.83, 0.154312
1559.83, 0.154313
1559.83, 0.154314
1559.83, 0.154315
1559.83, 0.154316
1559.83, 0.154318
1559.83, 0.154319
1559.83, 0.15432
1559.83, 0.154321
1559.83, 0.154322
1559.83, 0.154323
1559.83, 0.154324
1559.83, 0.154325
1559.83, 0.154326
1559.83, 0.154327
1559.83, 0.154328
1559.83, 0.154329
1559.83, 0.15433
1559.83, 0.154331
1559.83, 0.154332
1559.83, 0.154333
1559.83, 0.154334
1559.83, 0.154335
1559.83, 0.154336
1559.82, 0.154338
1559.82, 0.154339
1559.82, 0.15434
1559.82, 0.154341
1559.82, 0.154342
1559.82, 0.154343
1559.82, 0.154344
1559.82, 0.154345
1559.82, 0.154346
1559.82, 0.154347
1559.82, 0.154348
1559.82, 0.154349
1559.82, 0.15435
1559.82, 0.154351
1559.82, 0.154352
1559.82, 0.154353
1559.82, 0.154354
1559.82, 0.154355
1559.82, 0.154356
1559.82, 0.154357
1559.82, 0.154358
1559.82, 0.154359
1559.82, 0.15436
1559.82, 0.154361
1559.81, 0.154362
1559.81, 0.154363
1559.81, 0.154364
1559.81, 0.154365
1559.81, 0.154366
1559.81, 0.154367
1559.81, 0.154368
1559.81, 0.154369
1559.81, 0.154369
1559.81, 0.15437
1559.81, 0.154371
1559.81, 0.154372
1559.81, 0.154373
1559.81, 0.154374
1559.81, 0.154375
1559.81, 0.154376
1559.81, 0.154377
1559.81, 0.154378
1559.81, 0.154379
1559.81, 0.15438
1559.81, 0.154381
1559.81, 0.154382
1559.81, 0.154383
1559.81, 0.154384
1559.81, 0.154385
1559.8, 0.154386
1559.8, 0.154387
1559.8, 0.154387
1559.8, 0.154388
1559.8, 0.154389
1559.8, 0.15439
1559.8, 0.154391
1559.8, 0.154392
1559.8, 0.154393
1559.8, 0.154394
1559.8, 0.154395
1559.8, 0.154396
1559.8, 0.154397
1559.8, 0.154398
1559.8, 0.154398
1559.8, 0.154399
1559.8, 0.1544
1559.8, 0.154401
1559.8, 0.154402
1559.8, 0.154403
1559.8, 0.154404
1559.8, 0.154405
1559.8, 0.154406
1559.8, 0.154406
1559.8, 0.154407
1559.79, 0.154408
1559.79, 0.154409
1559.79, 0.15441
1559.79, 0.154411
1559.79, 0.154412
1559.79, 0.154413
1559.79, 0.154414
1559.79, 0.154414
1559.79, 0.154415
1559.79, 0.154416
1559.79, 0.154417
1559.79, 0.154418
1559.79, 0.154419
1559.79, 0.15442
1559.79, 0.15442
1559.79, 0.154421
1559.79, 0.154422
1559.79, 0.154423
1559.79, 0.154424
1559.79, 0.154425
1559.79, 0.154425
1559.79, 0.154426
1559.79, 0.154427
1559.79, 0.154428
1559.78, 0.154429
1559.78, 0.15443
1559.78, 0.15443
1559.78, 0.154431
1559.78, 0.154432
1559.78, 0.154433
1559.78, 0.154434
1559.78, 0.154435
1559.78, 0.154435
1559.78, 0.154436
1559.78, 0.154437
1559.78, 0.154438
1559.78, 0.154439
1559.78, 0.154439
1559.78, 0.15444
1559.78, 0.154441
1559.78, 0.154442
1559.78, 0.154443
1559.78, 0.154444
1559.78, 0.154444
1559.78, 0.154445
1559.78, 0.154446
1559.78, 0.154447
1559.78, 0.154447
1559.78, 0.154448
1559.77, 0.154449
1559.77, 0.15445
1559.77, 0.154451
1559.77, 0.154451
1559.77, 0.154452
1559.77, 0.154453
1559.77, 0.154454
1559.77, 0.154454
1559.77, 0.154455
1559.77, 0.154456
1559.77, 0.154457
1559.77, 0.154458
1559.77, 0.154458
1559.77, 0.154459
1559.77, 0.15446
1559.77, 0.154461
1559.77, 0.154461
1559.77, 0.154462
1559.77, 0.154463
1559.77, 0.154464
1559.77, 0.154464
1559.77, 0.154465
1559.77, 0.154466
1559.77, 0.154467
1559.77, 0.154467
1559.76, 0.154468
1559.76, 0.154469
1559.76, 0.154469
1559.76, 0.15447
1559.76, 0.154471
1559.76, 0.154472
1559.76, 0.154472
1559.76, 0.154473
1559.76, 0.154474
1559.76, 0.154475
1559.76, 0.154475
1559.76, 0.154476
1559.76, 0.154477
1559.76, 0.154477
1559.76, 0.154478
1559.76, 0.154479
1559.76, 0.154479
1559.76, 0.15448
1559.76, 0.154481
1559.76, 0.154482
1559.76, 0.154482
1559.76, 0.154483
1559.76, 0.154484
1559.76, 0.154484
1559.76, 0.154485
1559.75, 0.154486
1559.75, 0.154486
1559.75, 0.154487
1559.75, 0.154488
1559.75, 0.154488
1559.75, 0.154489
1559.75, 0.15449
1559.75, 0.15449
1559.75, 0.154491
1559.75, 0.154492
1559.75, 0.154492
1559.75, 0.154493
1559.75, 0.154494
1559.75, 0.154494
1559.75, 0.154495
1559.75, 0.154496
1559.75, 0.154496
1559.75, 0.154497
1559.75, 0.154498
1559.75, 0.154498
1559.75, 0.154499
1559.75, 0.1545
1559.75, 0.1545
1559.75, 0.154501
1559.74, 0.154502
1559.74, 0.154502
1559.74, 0.154503
1559.74, 0.154504
1559.74, 0.154504
1559.74, 0.154505
1559.74, 0.154505
1559.74, 0.154506
1559.74, 0.154507
1559.74, 0.154507
1559.74, 0.154508
1559.74, 0.154508
1559.74, 0.154509
1559.74, 0.15451
1559.74, 0.15451
1559.74, 0.154511
1559.74, 0.154512
1559.74, 0.154512
1559.74, 0.154513
1559.74, 0.154513
1559.74, 0.154514
1559.74, 0.154515
1559.74, 0.154515
1559.74, 0.154516
1559.74, 0.154516
1559.73, 0.154517
1559.73, 0.154518
1559.73, 0.154518
1559.73, 0.154519
1559.73, 0.154519
1559.73, 0.15452
1559.73, 0.15452
1559.73, 0.154521
1559.73, 0.154522
1559.73, 0.154522
1559.73, 0.154523
1559.73, 0.154523
1559.73, 0.154524
1559.73, 0.154524
1559.73, 0.154525
1559.73, 0.154526
1559.73, 0.154526
1559.73, 0.154527
1559.73, 0.154527
1559.73, 0.154528
1559.73, 0.154528
1559.73, 0.154529
1559.73, 0.154529
1559.73, 0.15453
1559.73, 0.15453
1559.72, 0.154531
1559.72, 0.154532
1559.72, 0.154532
1559.72, 0.154533
1559.72, 0.154533
1559.72, 0.154534
1559.72, 0.154534
1559.72, 0.154535
1559.72, 0.154535
1559.72, 0.154536
1559.72, 0.154536
1559.72, 0.154537
1559.72, 0.154537
1559.72, 0.154538
1559.72, 0.154538
1559.72, 0.154539
1559.72, 0.154539
1559.72, 0.15454
1559.72, 0.15454
1559.72, 0.154541
1559.72, 0.154541
1559.72, 0.154542
1559.72, 0.154542
1559.72, 0.154543
1559.71, 0.154543
1559.71, 0.154544
1559.71, 0.154544
1559.71, 0.154545
1559.71, 0.154545
1559.71, 0.154546
1559.71, 0.154546
1559.71, 0.154547
1559.71, 0.154547
1559.71, 0.154548
1559.71, 0.154548
1559.71, 0.154549
1559.71, 0.154549
1559.71, 0.15455
1559.71, 0.15455
1559.71, 0.154551
1559.71, 0.154551
1559.71, 0.154552
1559.71, 0.154552
1559.71, 0.154552
1559.71, 0.154553
1559.71, 0.154553
1559.71, 0.154554
1559.71, 0.154554
1559.71, 0.154555
1559.7, 0.154555
1559.7, 0.154556
1559.7, 0.154556
1559.7, 0.154556
1559.7, 0.154557
1559.7, 0.154557
1559.7, 0.154558
1559.7, 0.154558
1559.7, 0.154559
1559.7, 0.154559
1559.7, 0.154559
1559.7, 0.15456
1559.7, 0.15456
1559.7, 0.154561
1559.7, 0.154561
1559.7, 0.154562
1559.7, 0.154562
1559.7, 0.154562
1559.7, 0.154563
1559.7, 0.154563
1559.7, 0.154564
1559.7, 0.154564
1559.7, 0.154564
1559.7, 0.154565
1559.7, 0.154565
1559.69, 0.154566
1559.69, 0.154566
1559.69, 0.154566
1559.69, 0.154567
1559.69, 0.154567
1559.69, 0.154568
1559.69, 0.154568
1559.69, 0.154568
1559.69, 0.154569
1559.69, 0.154569
1559.69, 0.15457
1559.69, 0.15457
1559.69, 0.15457
1559.69, 0.154571
1559.69, 0.154571
1559.69, 0.154571
1559.69, 0.154572
1559.69, 0.154572
1559.69, 0.154572
1559.69, 0.154573
1559.69, 0.154573
1559.69, 0.154574
1559.69, 0.154574
1559.69, 0.154574
1559.68, 0.154575
1559.68, 0.154575
1559.68, 0.154575
1559.68, 0.154576
1559.68, 0.154576
1559.68, 0.154576
1559.68, 0.154577
1559.68, 0.154577
1559.68, 0.154577
1559.68, 0.154578
1559.68, 0.154578
1559.68, 0.154578
1559.68, 0.154579
1559.68, 0.154579
1559.68, 0.154579
1559.68, 0.15458
1559.68, 0.15458
1559.68, 0.15458
1559.68, 0.154581
1559.68, 0.154581
1559.68, 0.154581
1559.68, 0.154582
1559.68, 0.154582
1559.68, 0.154582
1559.68, 0.154583
1559.67, 0.154583
1559.67, 0.154583
1559.67, 0.154583
1559.67, 0.154584
1559.67, 0.154584
1559.67, 0.154584
1559.67, 0.154585
1559.67, 0.154585
1559.67, 0.154585
1559.67, 0.154585
1559.67, 0.154586
1559.67, 0.154586
1559.67, 0.154586
1559.67, 0.154587
1559.67, 0.154587
1559.67, 0.154587
1559.67, 0.154587
1559.67, 0.154588
1559.67, 0.154588
1559.67, 0.154588
1559.67, 0.154588
1559.67, 0.154589
1559.67, 0.154589
1559.67, 0.154589
1559.67, 0.15459
1559.66, 0.15459
1559.66, 0.15459
1559.66, 0.15459
1559.66, 0.154591
1559.66, 0.154591
1559.66, 0.154591
1559.66, 0.154591
1559.66, 0.154592
1559.66, 0.154592
1559.66, 0.154592
1559.66, 0.154592
1559.66, 0.154592
1559.66, 0.154593
1559.66, 0.154593
1559.66, 0.154593
1559.66, 0.154593
1559.66, 0.154594
1559.66, 0.154594
1559.66, 0.154594
1559.66, 0.154594
1559.66, 0.154595
1559.66, 0.154595
1559.66, 0.154595
1559.66, 0.154595
1559.65, 0.154595
1559.65, 0.154596
1559.65, 0.154596
1559.65, 0.154596
1559.65, 0.154596
1559.65, 0.154596
1559.65, 0.154597
1559.65, 0.154597
1559.65, 0.154597
1559.65, 0.154597
1559.65, 0.154597
1559.65, 0.154598
1559.65, 0.154598
1559.65, 0.154598
1559.65, 0.154598
1559.65, 0.154598
1559.65, 0.154598
1559.65, 0.154599
1559.65, 0.154599
1559.65, 0.154599
1559.65, 0.154599
1559.65, 0.154599
1559.65, 0.1546
1559.65, 0.1546
1559.65, 0.1546
1559.64, 0.1546
1559.64, 0.1546
1559.64, 0.1546
1559.64, 0.1546
1559.64, 0.154601
1559.64, 0.154601
1559.64, 0.154601
1559.64, 0.154601
1559.64, 0.154601
1559.64, 0.154601
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154602
1559.64, 0.154603
1559.64, 0.154603
1559.64, 0.154603
1559.64, 0.154603
1559.64, 0.154603
1559.64, 0.154603
1559.64, 0.154603
1559.63, 0.154603
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
1559.63, 0.154604
