ONA_1:input 1/mode 1/transmission: Abs(TE transmission) vs wavelength

wavelength(nm), Abs(TE transmission)
1559.9, 0.266571
1559.9, 0.266505
1559.9, 0.266439
1559.9, 0.266373
1559.9, 0.266307
1559.9, 0.266241
1559.9, 0.266175
1559.9, 0.266109
1559.9, 0.266044
1559.9, 0.265978
1559.9, 0.265912
1559.89, 0.265847
1559.89, 0.265781
1559.89, 0.265716
1559.89, 0.26565
1559.89, 0.265585
1559.89, 0.265519
1559.89, 0.265454
1559.89, 0.265389
1559.89, 0.265323
1559.89, 0.265258
1559.89, 0.265193
1559.89, 0.265128
1559.89, 0.265063
1559.89, 0.264998
1559.89, 0.264933
1559.89, 0.264868
1559.89, 0.264803
1559.89, 0.264738
1559.89, 0.264673
1559.89, 0.264608
1559.89, 0.264543
1559.89, 0.264478
1559.89, 0.264413
1559.89, 0.264349
1559.89, 0.264284
1559.88, 0.264219
1559.88, 0.264155
1559.88, 0.26409
1559.88, 0.264026
1559.88, 0.263961
1559.88, 0.263897
1559.88, 0.263832
1559.88, 0.263768
1559.88, 0.263704
1559.88, 0.263639
1559.88, 0.263575
1559.88, 0.263511
1559.88, 0.263447
1559.88, 0.263383
1559.88, 0.263319
1559.88, 0.263254
1559.88, 0.26319
1559.88, 0.263126
1559.88, 0.263062
1559.88, 0.262999
1559.88, 0.262935
1559.88, 0.262871
1559.88, 0.262807
1559.88, 0.262743
1559.87, 0.262679
1559.87, 0.262616
1559.87, 0.262552
1559.87, 0.262489
1559.87, 0.262425
1559.87, 0.262361
1559.87, 0.262298
1559.87, 0.262234
1559.87, 0.262171
1559.87, 0.262108
1559.87, 0.262044
1559.87, 0.261981
1559.87, 0.261918
1559.87, 0.261854
1559.87, 0.261791
1559.87, 0.261728
1559.87, 0.261665
1559.87, 0.261602
1559.87, 0.261539
1559.87, 0.261476
1559.87, 0.261413
1559.87, 0.26135
1559.87, 0.261287
1559.87, 0.261224
1559.87, 0.261161
1559.86, 0.261098
1559.86, 0.261035
1559.86, 0.260973
1559.86, 0.26091
1559.86, 0.260847
1559.86, 0.260785
1559.86, 0.260722
1559.86, 0.26066
1559.86, 0.260597
1559.86, 0.260535
1559.86, 0.260472
1559.86, 0.26041
1559.86, 0.260347
1559.86, 0.260285
1559.86, 0.260223
1559.86, 0.26016
1559.86, 0.260098
1559.86, 0.260036
1559.86, 0.259974
1559.86, 0.259912
1559.86, 0.25985
1559.86, 0.259788
1559.86, 0.259726
1559.86, 0.259664
1559.86, 0.259602
1559.85, 0.25954
1559.85, 0.259478
1559.85, 0.259416
1559.85, 0.259354
1559.85, 0.259293
1559.85, 0.259231
1559.85, 0.259169
1559.85, 0.259108
1559.85, 0.259046
1559.85, 0.258984
1559.85, 0.258923
1559.85, 0.258861
1559.85, 0.2588
1559.85, 0.258738
1559.85, 0.258677
1559.85, 0.258616
1559.85, 0.258554
1559.85, 0.258493
1559.85, 0.258432
1559.85, 0.258371
1559.85, 0.258309
1559.85, 0.258248
1559.85, 0.258187
1559.85, 0.258126
1559.84, 0.258065
1559.84, 0.258004
1559.84, 0.257943
1559.84, 0.257882
1559.84, 0.257821
1559.84, 0.25776
1559.84, 0.257699
1559.84, 0.257639
1559.84, 0.257578
1559.84, 0.257517
1559.84, 0.257456
1559.84, 0.257396
1559.84, 0.257335
1559.84, 0.257275
1559.84, 0.257214
1559.84, 0.257153
1559.84, 0.257093
1559.84, 0.257033
1559.84, 0.256972
1559.84, 0.256912
1559.84, 0.256851
1559.84, 0.256791
1559.84, 0.256731
1559.84, 0.256671
1559.84, 0.25661
1559.83, 0.25655
1559.83, 0.25649
1559.83, 0.25643
1559.83, 0.25637
1559.83, 0.25631
1559.83, 0.25625
1559.83, 0.25619
1559.83, 0.25613
1559.83, 0.25607
1559.83, 0.25601
1559.83, 0.25595
1559.83, 0.255891
1559.83, 0.255831
1559.83, 0.255771
1559.83, 0.255711
1559.83, 0.255652
1559.83, 0.255592
1559.83, 0.255533
1559.83, 0.255473
1559.83, 0.255413
1559.83, 0.255354
1559.83, 0.255295
1559.83, 0.255235
1559.83, 0.255176
1559.83, 0.255116
1559.82, 0.255057
1559.82, 0.254998
1559.82, 0.254939
1559.82, 0.254879
1559.82, 0.25482
1559.82, 0.254761
1559.82, 0.254702
1559.82, 0.254643
1559.82, 0.254584
1559.82, 0.254525
1559.82, 0.254466
1559.82, 0.254407
1559.82, 0.254348
1559.82, 0.254289
1559.82, 0.25423
1559.82, 0.254171
1559.82, 0.254113
1559.82, 0.254054
1559.82, 0.253995
1559.82, 0.253937
1559.82, 0.253878
1559.82, 0.253819
1559.82, 0.253761
1559.82, 0.253702
1559.81, 0.253644
1559.81, 0.253585
1559.81, 0.253527
1559.81, 0.253468
1559.81, 0.25341
1559.81, 0.253352
1559.81, 0.253293
1559.81, 0.253235
1559.81, 0.253177
1559.81, 0.253119
1559.81, 0.25306
1559.81, 0.253002
1559.81, 0.252944
1559.81, 0.252886
1559.81, 0.252828
1559.81, 0.25277
1559.81, 0.252712
1559.81, 0.252654
1559.81, 0.252596
1559.81, 0.252538
1559.81, 0.252481
1559.81, 0.252423
1559.81, 0.252365
1559.81, 0.252307
1559.81, 0.25225
1559.8, 0.252192
1559.8, 0.252134
1559.8, 0.252077
1559.8, 0.252019
1559.8, 0.251961
1559.8, 0.251904
1559.8, 0.251846
1559.8, 0.251789
1559.8, 0.251732
1559.8, 0.251674
1559.8, 0.251617
1559.8, 0.25156
1559.8, 0.251502
1559.8, 0.251445
1559.8, 0.251388
1559.8, 0.251331
1559.8, 0.251273
1559.8, 0.251216
1559.8, 0.251159
1559.8, 0.251102
1559.8, 0.251045
1559.8, 0.250988
1559.8, 0.250931
1559.8, 0.250874
1559.8, 0.250817
1559.79, 0.25076
1559.79, 0.250704
1559.79, 0.250647
1559.79, 0.25059
1559.79, 0.250533
1559.79, 0.250477
1559.79, 0.25042
1559.79, 0.250363
1559.79, 0.250307
1559.79, 0.25025
1559.79, 0.250194
1559.79, 0.250137
1559.79, 0.250081
1559.79, 0.250024
1559.79, 0.249968
1559.79, 0.249911
1559.79, 0.249855
1559.79, 0.249799
1559.79, 0.249742
1559.79, 0.249686
1559.79, 0.24963
1559.79, 0.249574
1559.79, 0.249518
1559.79, 0.249461
1559.78, 0.249405
1559.78, 0.249349
1559.78, 0.249293
1559.78, 0.249237
1559.78, 0.249181
1559.78, 0.249125
1559.78, 0.249069
1559.78, 0.249014
1559.78, 0.248958
1559.78, 0.248902
1559.78, 0.248846
1559.78, 0.24879
1559.78, 0.248735
1559.78, 0.248679
1559.78, 0.248623
1559.78, 0.248568
1559.78, 0.248512
1559.78, 0.248457
1559.78, 0.248401
1559.78, 0.248345
1559.78, 0.24829
1559.78, 0.248235
1559.78, 0.248179
1559.78, 0.248124
1559.78, 0.248068
1559.77, 0.248013
1559.77, 0.247958
1559.77, 0.247903
1559.77, 0.247847
1559.77, 0.247792
1559.77, 0.247737
1559.77, 0.247682
1559.77, 0.247627
1559.77, 0.247572
1559.77, 0.247517
1559.77, 0.247462
1559.77, 0.247407
1559.77, 0.247352
1559.77, 0.247297
1559.77, 0.247242
1559.77, 0.247187
1559.77, 0.247132
1559.77, 0.247078
1559.77, 0.247023
1559.77, 0.246968
1559.77, 0.246913
1559.77, 0.246859
1559.77, 0.246804
1559.77, 0.246749
1559.77, 0.246695
1559.76, 0.24664
1559.76, 0.246586
1559.76, 0.246531
1559.76, 0.246477
1559.76, 0.246422
1559.76, 0.246368
1559.76, 0.246314
1559.76, 0.246259
1559.76, 0.246205
1559.76, 0.246151
1559.76, 0.246097
1559.76, 0.246042
1559.76, 0.245988
1559.76, 0.245934
1559.76, 0.24588
1559.76, 0.245826
1559.76, 0.245772
1559.76, 0.245718
1559.76, 0.245664
1559.76, 0.24561
1559.76, 0.245556
1559.76, 0.245502
1559.76, 0.245448
1559.76, 0.245394
1559.76, 0.24534
1559.75, 0.245287
1559.75, 0.245233
1559.75, 0.245179
1559.75, 0.245125
1559.75, 0.245072
1559.75, 0.245018
1559.75, 0.244965
1559.75, 0.244911
1559.75, 0.244857
1559.75, 0.244804
1559.75, 0.24475
1559.75, 0.244697
1559.75, 0.244643
1559.75, 0.24459
1559.75, 0.244537
1559.75, 0.244483
1559.75, 0.24443
1559.75, 0.244377
1559.75, 0.244324
1559.75, 0.24427
1559.75, 0.244217
1559.75, 0.244164
1559.75, 0.244111
1559.75, 0.244058
1559.74, 0.244005
1559.74, 0.243952
1559.74, 0.243899
1559.74, 0.243846
1559.74, 0.243793
1559.74, 0.24374
1559.74, 0.243687
1559.74, 0.243634
1559.74, 0.243581
1559.74, 0.243528
1559.74, 0.243476
1559.74, 0.243423
1559.74, 0.24337
1559.74, 0.243317
1559.74, 0.243265
1559.74, 0.243212
1559.74, 0.24316
1559.74, 0.243107
1559.74, 0.243054
1559.74, 0.243002
1559.74, 0.242949
1559.74, 0.242897
1559.74, 0.242845
1559.74, 0.242792
1559.74, 0.24274
1559.73, 0.242687
1559.73, 0.242635
1559.73, 0.242583
1559.73, 0.242531
